Ts_ns,cvs_avg_ns,err_ns
6.7,0.0013088105042056493,3.707276392871923e-5
6.8,0.0013088404397934795,3.829938689120706e-5
6.9,0.0013088363439339508,3.950243903284801e-5
7.0,0.001308804011284909,4.068119647220168e-5
7.1,0.0013087488336518804,4.1834776881866936e-5
7.2,0.0013086757810636112,4.296213736219943e-5
7.3,0.001308589390800626,4.4062079115547277e-5
7.4,0.0013084937635790205,4.5133257492456275e-5
7.5,0.0013083925660697486,4.617419631856009e-5
7.6,0.0013082890389326362,4.7183305588103154e-5
7.7,0.0013081860095606555,4.815890170180509e-5
7.8,0.0013080859087598352,4.909922948124812e-5
7.9,0.001307990790630693,5.000248523789258e-5
8.0,0.00130790235496515,5.086684022695641e-5
8.1,0.0013078219715265042,5.1690463881007115e-5
8.2,0.00130775070563666,5.247154629472036e-5
8.3,0.0013076893445532428,5.320831951812794e-5
8.4,0.001307638424177576,5.3899077305935816e-5
8.5,0.0013075982556918335,5.4542193060584454e-5
8.6,0.001307568951779127,5.5136135792295704e-5
8.7,0.001307550452132952,5.567948399725808e-5
8.8,0.0013075425480119824,5.617093742311317e-5
8.9,0.0013075449056421603,5.660932674768814e-5
9.0,0.0013075570883103909,5.69936212426122e-5
9.1,0.0013075785770323767,5.732293452768589e-5
9.2,0.0013076087897118793,5.759652854653483e-5
9.3,0.0013076470987392382,5.7813815909379295e-5
9.4,0.0013076928470042027,5.79743607568578e-5
9.5,0.0013077453623215752,5.807787830070748e-5
9.6,0.0013078039702884737,5.8124233194277135e-5
9.7,0.0013078680056091304,5.811343687956562e-5
9.8,0.0013079368219373782,5.8045644048756706e-5
9.9,0.0013080098002987125,5.7921148348073e-5
10.0,0.001308086356162944,5.774037744096491e-5
10.1,0.001308165945245599,5.750388753656931e-5
10.2,0.0013082480681213717,5.721235747874076e-5
10.3,0.0013083322737363536,5.6866582480876196e-5
10.4,0.0013084181619076344,5.6467467582420035e-5
10.5,0.0013085053848995488,5.601602089457979e-5
10.6,0.0013085936481652468,5.551334669527307e-5
10.7,0.001308682710340762,5.4960638426760346e-5
10.8,0.001308772382576483,5.435917164368884e-5
10.9,0.0013088625272878681,5.3710296954283434e-5
11.0,0.0013089530564037895,5.3015432993136544e-5
11.1,0.0013090439291868795,5.22760594602687e-5
11.2,0.001309135149695986,5.1493710257967406e-5
11.3,0.0013092267639563681,5.0669966753909164e-5
11.4,0.0013093188568985645,4.980645119668958e-5
11.5,0.0013094115491221893,4.8904820307414766e-5
11.6,0.0013095049935361303,4.7966759069074606e-5
11.7,0.001309599371921982,4.6993974733362806e-5
11.8,0.0013096948914629227,4.5988191062929056e-5
11.9,0.0013097917812757815,4.495114282531837e-5
12.0,0.0013098902889797448,4.3884570553399904e-5
12.1,0.001309990677331024,4.279021558572857e-5
12.2,0.0013100932209489243,4.166981539912181e-5
12.3,0.0013101982031550191,4.0525099244839644e-5
12.4,0.0013103059129437374,3.935778409914149e-5
12.5,0.0013104166420994207,3.816957093885626e-5
12.6,0.0013105306824719356,3.69621413529115e-5
12.7,0.0013106483234202257,3.5737154501953664e-5
12.8,0.0013107698494306582,3.449624444017597e-5
12.9,0.0013108955379147874,3.324101781697425e-5
13.0,0.0013110256571891037,3.197305198128104e-5
13.1,0.0013111604646375505,3.069389351930782e-5
13.2,0.0013113002050559534,2.9405057267884933e-5
13.3,0.001311445109176099,2.8108025862483087e-5
13.4,0.00131159539236601,2.6804249903436005e-5
13.5,0.001311751253501859,2.5495148860050292e-5
